VPC ID,Structure,SMILES,Mol Weight,IC50_eGFP,PSA IC50 (uM),% Growth@50uM (MTS),% Peptide Displacement@50uM (FP),% AR Inhibition@50/25uM (eGFP),% AR Inhibition@3uM (eGFP),CV_eGFP (50uM),CV_eGFP (3uM),CV_FP,Half Life,,U-shaper,
13711,,Clc1c2[nH]cc(-c3nc4c(c([N+](=O)[O-])ccc4)cc3)c2ccc1,323.74,"1,000.00","1,000.00",,,,,,,,64.30,,,
13712,,Clc1c2[nH]cc(-c3nc4c(c(F)ccc4)cc3)c2ccc1,296.73,"1,000.00","1,000.00",,,,,,,,31.20,,,
13714,,Brc1c2[nH]cc(-c3nc4c(c(F)ccc4)cc3)c2ccc1,341.18,"1,000.00","1,000.00",,,,,,,,,,,
13720,,Clc1cc(F)c2[nH]ccc2c1,169.58,"1,000.00","1,000.00",,,,,,,,,,,
13721,,Clc1c2[nH]ccc2cc(F)c1,169.58,"1,000.00","1,000.00",,,,,,,,,,,
13722,,Fc1cc(C)c2[nH]ccc2c1,149.17,"1,000.00","1,000.00",,,,,,,,,,,
13723,,Fc1c2[nH]ccc2cc(F)c1,153.13,"1,000.00","1,000.00",,,,,,,,,,,
13724,,Clc1c2[nH]ccc2cc(C)c1,165.62,"1,000.00","1,000.00",,,,,,,,,,,
13725,,Clc1c(F)ccc2c1[nH]cc2,169.58,"1,000.00","1,000.00",,,,,,,,,,,
13726,,Clc1c2[nH]ccc2c(F)cc1,169.58,"1,000.00","1,000.00",,,,,,,,,,,
13727,,Clc1nc2c(cc1)ccc(C)c2,177.63,"1,000.00","1,000.00",,,,,,,,,,,
13728,,Clc1nc2c(cc1)ccc(F)c2,181.59,"1,000.00","1,000.00",,,,,,,,,,,
13729,,Clc1nc2c(F)cccc2cc1,181.59,"1,000.00","1,000.00",,,,,,,,,,,
13001,,O(C)c1c(OC)ccc(-c2[nH]c3c(n2)cccc3)c1,254.29,,,121.40,7.60,0.00,,0,,1,,,,
13002,,Clc1c(Cl)ccc(N2C(=O)/C(=C\c3c4c([nH]c3)cccc4)/C(=O)N2)c1,372.21,,,140.00,5.40,0.00,,0,,2,,,,
13003,,O(C)c1c(O)ccc(-c2c(N)n3c(n2)C=C(C)C=C3)c1,269.30,,,155.40,9.20,0.00,,0,,1,,,,
13004,,O=C([O-])c1ccc(-c2[nH]c3c(n2)cccc3)cc1,237.24,,,134.20,8.10,0.00,,0,,1,,,,
13005,,O(C)c1c(OC)ccc(Cn2c3c(nc2)cccc3)c1,268.32,,,115.00,8.60,41.60,,4,,1,,,,
13006,,Cc1n(C2=Nc3c(-n4nnnc24)cccc3)nc(C)c1,265.28,,,132.10,8.60,0.00,,0,,2,,,,
13007,,O(C)c1ccc(N=Nc2c([n+]([O-])on2)-c2ccccc2)cc1,296.29,,,105.40,14.60,39.30,,2,,3,,,,
13008,,S=C/1N(c2ccccc2)N=C(C)\C\1=C\Nc1cc(OC)ccc1,323.41,,,119.00,9.70,0.00,,0,,3,,,,
13009,,O=C([O-])c1ccc(N=Nc2c(O)ccc3c2cccc3)cc1,291.29,,,107.20,4.30,19.00,,7,,1,,,,
13010,,Clc1c(Cl)ccc(N2C(=O)/C(=C/c3ccccc3)/C(=O)N2)c1,333.17,,,107.80,0.00,0.00,,0,,0,,,,
13011,,O=C(N/N=C/c1cnccc1)c1cnccc1,226.24,,,114.00,5.90,0.00,,0,,1,,,,
13012,,O(C)c1c(O)cc(/C=C\2/C(=O)N(c3ccccc3)NC/2=O)cc1,310.31,,,124.20,0.00,0.00,,0,,0,,,,
13013,,O(C)c1cc(N=Nc2c(O)n(-c3ccccc3)nc2C)ccc1,308.34,,,105.00,9.70,1.10,,4,,1,,,,
13014,,O=C(C)c1cc(Nc2nc(NCC)c3c(n2)cccc3)ccc1,306.37,,,8.50,0.00,74.10,,0,,0,,,,
13015,,O(C)c1ccc(-c2nc3n(c2)C=CC=N3)cc1,225.25,,,77.30,8.10,0.00,,0,,2,,,,
13016,,O=C([O-])c1c(O)ccc(Nc2[nH]c3c(n2)cccc3)c1,268.25,,,112.50,30.80,0.00,,0,,2,,,,
13017,,O=C([O-])c1ccc(N/C=C(\C#N)/c2[nH]c3c(n2)cccc3)cc1,303.30,,,109.20,0.00,0.00,,0,,0,,,,
